benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-local,1,local,60.0008,60.0008,928334331,1.5472e+07,928334331,1.5472e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,120.001,60.0003,771872125,1.28645e+07,1700206456,1.41683e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,180.001,60.0002,772908191,1.28818e+07,2473114647,1.37394e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,240.001,59.9998,773307443,1.28885e+07,3246422090,1.35267e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,300.001,59.9998,773171854,1.28862e+07,4019593944,1.33986e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,360.001,60.0005,771998276,1.28665e+07,4791592220,1.33099e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,420.001,60,771760964,1.28627e+07,5563353184,1.3246e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,480.004,60.0023,771758990,1.28622e+07,6335112174,1.3198e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,540.001,59.9974,772807640,1.28807e+07,7107919814,1.31628e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,600.003,60.002,772361114,1.28723e+07,7880280928,1.31337e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,660.001,59.9981,772494899,1.28753e+07,8652775827,1.31102e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,720.001,59.9999,772912964,1.28819e+07,9425688791,1.30912e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,780.001,60.0001,772949902,1.28825e+07,10198638693,1.30752e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,840.001,60.0003,772225439,1.28704e+07,10970864132,1.30605e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,900.065,60.0639,772806872,1.28664e+07,11743671004,1.30476e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
