benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,native,1,native,60.0015,60.0015,1023757886,1.70622e+07,1023757886,1.70622e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,120.001,59.9993,737516988,1.22921e+07,1761274874,1.46772e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,180.001,60.0001,736706093,1.22784e+07,2497980967,1.38776e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,240.001,60.0002,737328879,1.22888e+07,3235309846,1.34804e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,300.001,59.9999,737984461,1.22998e+07,3973294307,1.32443e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,360.001,59.9999,737743496,1.22957e+07,4711037803,1.30862e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,420.001,60.0004,737651018,1.22941e+07,5448688821,1.2973e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,480.001,59.9996,737752877,1.2296e+07,6186441698,1.28884e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,540.001,60.0002,737720946,1.22953e+07,6924162644,1.28225e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,600.001,60,737682312,1.22947e+07,7661844956,1.27697e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,660.001,60.0002,737230467,1.22871e+07,8399075423,1.27258e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,720.001,59.9996,738076308,1.23014e+07,9137151731,1.26905e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,780.001,60.0001,737512237,1.22919e+07,9874663968,1.26598e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,840.001,60,737064067,1.22844e+07,10611728035,1.2633e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,900.065,60.0639,737570184,1.22798e+07,11349298219,1.26094e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
