phase,candidate,replicate,position,requested_mode,actual_mode,status,throughput,max_rss_kb,swaps,arena_allocations,arena_peak_live,arena_assigned_bytes,arena_fallbacks,arena_resident_bytes,arena_majority_node,arena_query_error_pages,runtime_fingerprint,static_fingerprint,time_sec,wall_time,driver_exit,duration_seconds,sample_seconds,result_dir
screen,raw-035,1,21,local,local,arena-report-missing,2.603e+07,32641804,0,,,,,,,,none,90+97+99,15.0037,1:13.45,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/021-screen-raw-035-r01-local
screen,raw-036,1,22,local,local,ok,2.84808e+07,33439756,0,26395417,26395417,3380609024,0,3378614272,0,0,68,68+90+97+99,15.0053,1:17.62,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/022-screen-raw-036-r01-local
screen,raw-036,1,23,cxl,remote,ok,3.99403e+07,33440324,0,26395417,26395417,3380609024,0,3378614272,2,0,68,68+90+97+99,15.0039,1:18.14,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/023-screen-raw-036-r01-cxl
screen,raw-039,1,24,cxl,remote,ok,5.62444e+07,31662772,0,52791182,52791182,18591252480,0,18586292224,2,0,68+71+74,68+71+74+90+97+99,15.0039,1:27.34,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/024-screen-raw-039-r01-cxl
screen,raw-039,1,25,local,local,ok,2.85179e+07,31662816,0,52791182,52791182,18591252480,0,18586292224,0,0,68+71+74,68+71+74+90+97+99,15.0045,1:18.18,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/025-screen-raw-039-r01-local
screen,raw-043,1,26,local,local,ok,2.90301e+07,33102792,0,79186700,79186624,20285751296,0,20275609600,0,0,21+37+68+69+71+74,21+37+54+68+69+71+74+90+97+98+99+100,15.0031,1:20.28,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/026-screen-raw-043-r01-local
screen,raw-043,1,27,cxl,remote,ok,5.78091e+07,33102880,0,79186700,79186624,20285751296,0,20275609600,2,0,21+37+68+69+71+74,21+37+54+68+69+71+74+90+97+98+99+100,15.0051,1:28.46,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/027-screen-raw-043-r01-cxl
screen,raw-046,1,28,cxl,remote,ok,5.54247e+07,31662848,0,52791182,52791182,18591252480,0,18586292224,2,0,68+71+74,68+71+74+90+97+98+99+100,15.0042,1:24.91,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/028-screen-raw-046-r01-cxl
screen,raw-046,1,29,local,local,ok,2.80613e+07,31662744,0,52791182,52791182,18591252480,0,18586292224,0,0,68+71+74,68+71+74+90+97+98+99+100,15.0025,1:18.11,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/029-screen-raw-046-r01-local
screen,raw-047,1,30,local,local,ok,2.86014e+07,34880092,0,52790834,52790758,5070913536,0,5067919360,0,0,68+69,68+69+97+98+99+100,15.0045,1:19.19,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/030-screen-raw-047-r01-local
screen,raw-047,1,31,cxl,remote,ok,4.14265e+07,34880068,0,52790834,52790758,5070913536,0,5067919360,2,0,68+69,68+69+97+98+99+100,15.0039,1:21.12,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/031-screen-raw-047-r01-cxl
screen,raw-063,1,32,cxl,remote,arena-report-missing,2.73129e+07,32641828,0,,,,,,,,none,90+97,15.0068,1:13.55,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/032-screen-raw-063-r01-cxl
screen,raw-063,1,33,local,local,arena-report-missing,2.81427e+07,32641820,0,,,,,,,,none,90+97,15.0016,1:13.44,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/033-screen-raw-063-r01-local
screen,raw-081,1,34,local,local,ok,2.79017e+07,30864960,0,26395765,26395765,15210643456,0,15207677952,0,0,71+74,71+74,15.0021,1:15.54,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/034-screen-raw-081-r01-local
screen,raw-081,1,35,cxl,remote,ok,4.27005e+07,30864904,0,26395765,26395765,15210643456,0,15207677952,2,0,71+74,71+74,15.0034,1:21.91,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/035-screen-raw-081-r01-cxl
screen,raw-082,1,36,cxl,remote,ok,4.58437e+07,30864916,0,26395622,26395622,15208546304,0,15207591936,2,0,71,71,15.0053,1:21.78,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/036-screen-raw-082-r01-cxl
screen,raw-082,1,37,local,local,ok,2.89271e+07,30864976,0,26395622,26395622,15208546304,0,15207591936,0,0,71,71,15.0038,1:15.68,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/037-screen-raw-082-r01-local
native-middle,native,2,38,native,native,ok,2.72819e+07,32641828,0,,,,,,,,native,native,60.0047,1:58.14,0,60,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/038-native-middle-native-r02-native
