raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-011,high-affinity,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-011,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-011.log
raw-012,deep-expansion,unsafe-nonconstant-size:72+75+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-012,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-012.log
raw-013,flat-fixed-aggressive,selected,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-013.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-013,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-013.log
raw-014,hybrid-fixed-expansion,selected,71+97+98+99+100,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-014.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-014,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-014.log
raw-015,random-size-heavy,no-selected-sites,,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-015.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-015,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-015.log
raw-016,random-hybrid,duplicate-static:raw-013,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-016.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-016,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-016.log
raw-017,random-escape-heavy,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-017,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-017.log
raw-018,random-size-heavy,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-018,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-018.log
raw-019,random-size-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-019,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-019.log
raw-020,random-flat,no-selected-sites,,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-020.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-020,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-020.log
