benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-target,1,remote,60.0008,60.0008,1198569973,1.99759e+07,1198569973,1.99759e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,120.001,60.0004,877517710,1.46252e+07,2076087683,1.73006e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,180.001,59.9998,876285753,1.46048e+07,2952373436,1.6402e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,240.001,60.0002,877047387,1.46174e+07,3829420823,1.59558e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,300.001,60,877908150,1.46318e+07,4707328973,1.5691e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,360.001,59.9999,876092160,1.46016e+07,5583421133,1.55095e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,420.001,60,876481371,1.4608e+07,6459902504,1.53807e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,480.001,60,877312165,1.46219e+07,7337214669,1.52858e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,540.001,60,877921735,1.4632e+07,8215136404,1.52132e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,600.001,59.9995,879045029,1.46509e+07,9094181433,1.5157e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,660.001,60.0006,878064310,1.46343e+07,9972245743,1.51094e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,720.001,59.9997,876138405,1.46024e+07,10848384148,1.50672e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,780.001,59.9998,876653147,1.46109e+07,11725037295,1.50321e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,840.001,60.0008,877013248,1.46167e+07,12602050543,1.50024e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,900.065,60.0636,877236844,1.46051e+07,13479287387,1.49759e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-07/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
