benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-local,1,local,60.0011,60.0011,1034009008,1.72332e+07,1034009008,1.72332e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,120.001,60.0001,782263655,1.30377e+07,1816272663,1.51355e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,180.001,60,782877656,1.3048e+07,2599150319,1.44396e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,240.001,60,782231512,1.30372e+07,3381381831,1.4089e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,300.001,60.0003,781996248,1.30332e+07,4163378079,1.38779e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,360.003,60.0017,782606205,1.30431e+07,4945984284,1.37387e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,420.001,59.9977,782986621,1.30503e+07,5728970905,1.36404e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,480.001,60.0003,782334936,1.30388e+07,6511305841,1.35652e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,540.001,59.9998,782916477,1.30487e+07,7294222318,1.35078e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,600.001,60.0002,782825080,1.3047e+07,8077047398,1.34617e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,660.001,59.9996,783237154,1.3054e+07,8860284552,1.34247e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,720.001,60.0007,782320509,1.30385e+07,9642605061,1.33925e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,780.001,59.9996,782402008,1.30401e+07,10425007069,1.33654e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,840.001,60,782861255,1.30477e+07,11207868324,1.33427e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,900.065,60.0643,782734626,1.30316e+07,11990602950,1.33219e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
