benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-target,1,remote,2400,59.9989,801550757,1.33594e+07,32437946238,1.35158e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2460,59.9999,802720756,1.33787e+07,33240666994,1.35125e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2520,60.0023,802916261,1.33814e+07,34043583255,1.35093e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2580,59.9978,802786890,1.33803e+07,34846370145,1.35063e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2640,60.0001,802376283,1.33729e+07,35648746428,1.35033e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2700,59.9998,802081945,1.33681e+07,36450828373,1.35003e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2760,60.0001,802500113,1.3375e+07,37253328486,1.34976e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2820,60.0003,801216091,1.33535e+07,38054544577,1.34945e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2880,60.0002,802732874,1.33788e+07,38857277451,1.34921e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,2940,59.9995,802300746,1.33718e+07,39659578197,1.34896e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3000,60,802726661,1.33788e+07,40462304858,1.34874e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3060,60.0002,802540965,1.33756e+07,41264845823,1.34852e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3120,60,801963190,1.33661e+07,42066809013,1.34829e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3180,60.0018,803639262,1.33936e+07,42870448275,1.34813e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3240,59.9982,800829531,1.33476e+07,43671277806,1.34788e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3300,60.0003,802756357,1.33792e+07,44474034163,1.3477e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3360,59.9996,803495094,1.33917e+07,45277529257,1.34755e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3420,59.9997,801517204,1.33587e+07,46079046461,1.34734e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3480,60.0005,803124463,1.33853e+07,46882170924,1.34719e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3540,59.9999,801394853,1.33566e+07,47683565777,1.34699e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,3600.05,60.0441,801997243,1.33568e+07,48485563020,1.3468e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
