benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,native,1,native,60.0007,60.0007,1006620251,1.67768e+07,1006620251,1.67768e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,120.001,60.0005,761654852,1.26941e+07,1768275103,1.47355e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,180.001,60,761459598,1.2691e+07,2529734701,1.4054e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,240.001,59.9996,761653350,1.26943e+07,3291388051,1.37141e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,300.001,60.0004,760925360,1.2682e+07,4052313411,1.35077e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,360.001,60,760857515,1.2681e+07,4813170926,1.33699e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,420.001,59.9999,761053599,1.26842e+07,5574224525,1.32719e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,480.001,59.9997,761624917,1.26938e+07,6335849442,1.31997e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,540.001,60.0004,761016422,1.26835e+07,7096865864,1.31423e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,600.001,59.9997,761080127,1.26847e+07,7857945991,1.30966e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,660.001,60.0002,760540956,1.26756e+07,8618486947,1.30583e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,720.001,60.0004,760709353,1.26784e+07,9379196300,1.30266e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,780.001,59.9997,760833695,1.26806e+07,10140029995,1.3e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,840.001,59.9997,761511538,1.26919e+07,10901541533,1.2978e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,900.065,60.0646,760811861,1.26666e+07,11662353394,1.29572e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log
