raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-020,random-size-heavy,selected,72+75,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-020.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-020,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-020.log
raw-021,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-021,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-021.log
raw-022,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-022,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-022.log
raw-023,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-023,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-023.log
raw-024,random-flat,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-024,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-024.log
raw-025,random-escape-heavy,selected,21+68+69+72+75+90+91+92+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-025.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-025,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-025.log
raw-026,random-sync-heavy,duplicate-static:raw-001,97,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-026.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-026,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-026.log
raw-027,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-027,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-027.log
raw-028,random-flat,selected,97+98+99+100,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-028.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-028,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-028.log
raw-029,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-029,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-029.log
