phase,candidate,replicate,position,requested_mode,actual_mode,status,throughput,max_rss_kb,swaps,arena_allocations,arena_peak_live,arena_assigned_bytes,arena_fallbacks,arena_resident_bytes,arena_majority_node,arena_query_error_pages,runtime_fingerprint,static_fingerprint,time_sec,wall_time,driver_exit,duration_seconds,sample_seconds,result_dir
screen,raw-020,1,27,cxl,,row-accounting-,,,,,,,,,,,none,72+75,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/027-screen-raw-020-r01-cxl
screen,raw-025,1,28,cxl,,row-accounting-,,,,,,,,,,,none,21+68+69+72+75+90+91+92+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/028-screen-raw-025-r01-cxl
screen,raw-025,1,29,local,,row-accounting-,,,,,,,,,,,none,21+68+69+72+75+90+91+92+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/029-screen-raw-025-r01-local
screen,raw-028,1,30,local,,row-accounting-,,,,,,,,,,,none,97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/030-screen-raw-028-r01-local
screen,raw-028,1,31,cxl,,row-accounting-,,,,,,,,,,,none,97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/031-screen-raw-028-r01-cxl
screen,raw-030,1,32,cxl,,row-accounting-,,,,,,,,,,,none,72+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/032-screen-raw-030-r01-cxl
screen,raw-030,1,33,local,,row-accounting-,,,,,,,,,,,none,72+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/033-screen-raw-030-r01-local
screen,raw-031,1,34,local,,row-accounting-,,,,,,,,,,,none,68+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/034-screen-raw-031-r01-local
screen,raw-031,1,35,cxl,,row-accounting-,,,,,,,,,,,none,68+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/035-screen-raw-031-r01-cxl
screen,raw-033,1,36,cxl,,row-accounting-,,,,,,,,,,,none,68+90+97+99,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/036-screen-raw-033-r01-cxl
screen,raw-033,1,37,local,,row-accounting-,,,,,,,,,,,none,68+90+97+99,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/037-screen-raw-033-r01-local
screen,raw-038,1,38,local,,row-accounting-,,,,,,,,,,,none,72+75+81+82+91+92,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/038-screen-raw-038-r01-local
screen,raw-038,1,39,cxl,,row-accounting-,,,,,,,,,,,none,72+75+81+82+91+92,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/039-screen-raw-038-r01-cxl
screen,raw-039,1,40,cxl,,row-accounting-,,,,,,,,,,,none,97+98,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/040-screen-raw-039-r01-cxl
screen,raw-039,1,41,local,,row-accounting-,,,,,,,,,,,none,97+98,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/041-screen-raw-039-r01-local
screen,raw-042,1,42,local,,row-accounting-,,,,,,,,,,,none,71+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/042-screen-raw-042-r01-local
screen,raw-042,1,43,cxl,,row-accounting-,,,,,,,,,,,none,71+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/043-screen-raw-042-r01-cxl
screen,raw-053,1,44,cxl,,row-accounting-,,,,,,,,,,,none,2+21+25+27+29+31+32+33+68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/044-screen-raw-053-r01-cxl
screen,raw-053,1,45,local,,row-accounting-,,,,,,,,,,,none,2+21+25+27+29+31+32+33+68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/045-screen-raw-053-r01-local
screen,raw-055,1,46,local,,row-accounting-,,,,,,,,,,,none,68+69+71+90+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/046-screen-raw-055-r01-local
screen,raw-055,1,47,cxl,,row-accounting-,,,,,,,,,,,none,68+69+71+90+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/047-screen-raw-055-r01-cxl
screen,raw-057,1,48,cxl,,row-accounting-,,,,,,,,,,,none,68+69+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/048-screen-raw-057-r01-cxl
screen,raw-057,1,49,local,,row-accounting-,,,,,,,,,,,none,68+69+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/049-screen-raw-057-r01-local
screen,raw-059,1,50,local,,row-accounting-,,,,,,,,,,,none,72+75+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/050-screen-raw-059-r01-local
screen,raw-059,1,51,cxl,,row-accounting-,,,,,,,,,,,none,72+75+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/051-screen-raw-059-r01-cxl
screen,raw-063,1,52,cxl,,row-accounting-,,,,,,,,,,,none,68+69+71+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/052-screen-raw-063-r01-cxl
screen,raw-063,1,53,local,,row-accounting-,,,,,,,,,,,none,68+69+71+72+75+90+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/053-screen-raw-063-r01-local
screen,raw-064,1,54,local,,row-accounting-,,,,,,,,,,,none,90+97+99,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/054-screen-raw-064-r01-local
screen,raw-064,1,55,cxl,,row-accounting-,,,,,,,,,,,none,90+97+99,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/055-screen-raw-064-r01-cxl
screen,raw-065,1,56,cxl,,row-accounting-,,,,,,,,,,,none,71+72,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/056-screen-raw-065-r01-cxl
screen,raw-065,1,57,local,,row-accounting-,,,,,,,,,,,none,71+72,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/057-screen-raw-065-r01-local
screen,raw-066,1,58,local,,row-accounting-,,,,,,,,,,,none,68+69+71+72+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/058-screen-raw-066-r01-local
screen,raw-066,1,59,cxl,,row-accounting-,,,,,,,,,,,none,68+69+71+72+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/059-screen-raw-066-r01-cxl
native-middle,native,2,60,native,,row-accounting-,,,,,,,,,,,none,native,,,0,60,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/060-native-middle-native-r02-native
native-end,native,3,61,native,,row-accounting-,,,,,,,,,,,none,native,,,0,60,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/061-native-end-native-r03-native
