benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,native,1,native,60.0015,60.0015,973650318,1.62271e+07,973650318,1.62271e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,120.001,59.9994,777846744,1.29642e+07,1751497062,1.45957e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,180.001,60.0002,778162136,1.29693e+07,2529659198,1.40536e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,240.001,60.0004,777484499,1.2958e+07,3307143697,1.37797e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,300.001,59.9999,777005124,1.29501e+07,4084148821,1.36138e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,360.002,60.0002,777245218,1.2954e+07,4861394039,1.35038e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,420.001,59.9997,777717282,1.2962e+07,5639111321,1.34264e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,480.001,60.0002,777205567,1.29534e+07,6416316888,1.33673e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,540.001,59.9997,777016462,1.29503e+07,7193333350,1.3321e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,600.001,59.9999,778250274,1.29709e+07,7971583624,1.32859e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,660.001,60.0001,778247475,1.29708e+07,8749831099,1.32573e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,720.001,60,777314771,1.29552e+07,9527145870,1.32321e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,780.001,59.9998,777457641,1.29577e+07,10304603511,1.3211e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,840.001,60.0004,777981565,1.29663e+07,11082585076,1.31935e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,900.062,60.0605,778109235,1.29554e+07,11860694311,1.31776e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-03-native-native/logs/xindex_a_native_r1.log
