site_id,kind,function,file,line,callee,size_expr,estimated_bytes,score,role,group_id,selected,reasons,member_affinity,member_access_kind,member_access_depth
33,cxx-new,init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%157,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
34,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
35,cxx-new,init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%246,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
36,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
37,cxx-new,init,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_root_impl.h,52,_ZnwmSt11align_val_t,64,64,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;hotset-rejected:expansion-none",0,,-1
38,cxx-new-array,init,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,41,_Znam,%302,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
39,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
40,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
41,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
42,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
43,cxx-new,re_init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%51,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
44,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
45,cxx-new-array,re_init,/usr/include/c++/11/bits/unique_ptr.h,968,_Znam,%111,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
46,cxx-delete-array,re_init,/usr/include/c++/11/bits/unique_ptr.h,120,_ZdaPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
47,cxx-new,re_init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%125,4096,4,rejected,0,no,"escapes-call;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
48,cxx-new,re_init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%134,4096,4,rejected,0,no,"escapes-call;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
49,cxx-delete,re_init,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_root_impl.h,75,_ZdlPvSt11align_val_t,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
50,cxx-new,re_init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%208,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
51,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
